categoria_hand,endereco
Baixo (10-25m),"Rua André Rocha, 2.299, Taquara, Jacarepaguá, Rio de Janeiro, RJ, Brazil"
Baixo (10-25m),"Avenida Dom Pedro I, 2.270, Ipiranga, Ribeirão Preto, SP, Brazil"
